no,exp_id,condition,item_type,item_id,stimulus
249,1c_2b,a,15,1c_2b-15,The artist disclosed who her rigid parents that her infamous boyfriend met briefly and awkwardly traveled to Europe with some friends.
250,1c_2b,b,15,1c_2b-15,Who disclosed that her rigid parents that her infamous boyfriend met briefly and awkwardly traveled to Europe with some friends?
251,1c_2b,c,15,1c_2b-15,The artist disclosed that her rigid parents that her infamous boyfriend met briefly and awkwardly traveled to Europe with some friends.
252,1c_2b,d,15,1c_2b-15,The artist disclosed why her rigid parents that her infamous boyfriend met briefly and awkwardly traveled to Europe with some friends.
253,1c_2b,a,16,1c_2b-16,The father considered who the naive babysitter that the spunky children loved unexpectedly and benevolently handed the toys to the grandma.
254,1c_2b,b,16,1c_2b-16,Who considered that the naive babysitter that the spunky children loved unexpectedly and benevolently handed the toys to the grandma?
255,1c_2b,c,16,1c_2b-16,The father considered that the naive babysitter that the spunky children loved unexpectedly and benevolently handed the toys to the grandma.
256,1c_2b,d,16,1c_2b-16,The father considered why the naive babysitter that the spunky children loved unexpectedly and benevolently handed the toys to the grandma.
257,1c_2b,a,17,1c_2b-17,The rapper considered who the sketchy promoter that the famous label suggested hastily and obliviously discussed the album with a stranger.
258,1c_2b,b,17,1c_2b-17,Who considered that the sketchy promoter that the famous label suggested hastily and obliviously discussed the album with a stranger?
259,1c_2b,c,17,1c_2b-17,The rapper considered that the sketchy promoter that the famous label suggested hastily and obliviously discussed the album with a stranger.
260,1c_2b,d,17,1c_2b-17,The rapper considered why the sketchy promoter that the famous label suggested hastily and obliviously discussed the album with a stranger.
261,1c_2b,a,18,1c_2b-18,The lawyer considered who the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.
262,1c_2b,b,18,1c_2b-18,Who considered that the important client that the affluent firm valued immorally and heavily influenced the case for the opposition?
263,1c_2b,c,18,1c_2b-18,The lawyer considered that the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.
264,1c_2b,d,18,1c_2b-18,The lawyer considered why the important client that the affluent firm valued immorally and heavily influenced the case for the opposition.
265,1c_2b,a,19,1c_2b-19,The dean heard who the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.
266,1c_2b,b,19,1c_2b-19,Who heard that the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student?
267,1c_2b,c,19,1c_2b-19,The dean heard that the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.
268,1c_2b,d,19,1c_2b-19,The dean heard why the unpopular committee that the intelligent professor respected judiciously and perceptively assigned the responsibility to the student.
269,1c_2b,a,20,1c_2b-20,The barista heard who the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.
270,1c_2b,b,20,1c_2b-20,Who heard that the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer?
271,1c_2b,c,20,1c_2b-20,The barista heard that the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.
272,1c_2b,d,20,1c_2b-20,The barista heard why the rude patron that the terrible manager knew inappropriately and inconveniently discussed the election with a lawyer.
273,1c_2b,a,21,1c_2b-21,The couple heard who the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.
274,1c_2b,b,21,1c_2b-21,Who heard that the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director?
275,1c_2b,c,21,1c_2b-21,The couple heard that the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.
276,1c_2b,d,21,1c_2b-21,The couple heard why the desirable actress that the arrogant singer disliked fervently and embarrassingly argued her opinion to her director.
277,1c_2b,a,22,1c_2b-22,The analyst confessed who the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.
278,1c_2b,b,22,1c_2b-22,Who confessed that the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger?
279,1c_2b,c,22,1c_2b-22,The analyst confessed that the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.
280,1c_2b,d,22,1c_2b-22,The analyst confessed why the unpleasant mathematician that the gracious employer contracted knowingly and deliberately entrusted the data to the stranger.
281,1c_2b,a,23,1c_2b-23,The researcher confessed who the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.
282,1c_2b,b,23,1c_2b-23,Who confessed that the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet?
283,1c_2b,c,23,1c_2b-23,The researcher confessed that the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.
284,1c_2b,d,23,1c_2b-23,The researcher confessed why the rebellious student that the pretentious university encouraged ignorantly and unjustly copied the answers from the internet.
285,1c_2b,a,24,1c_2b-24,The traveler confessed who the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.
286,1c_2b,b,24,1c_2b-24,Who confessed that the novice camper that the advanced hiker followed quietly and privately brought the food for the animals?
287,1c_2b,c,24,1c_2b-24,The traveler confessed that the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.
288,1c_2b,d,24,1c_2b-24,The traveler confessed why the novice camper that the advanced hiker followed quietly and privately brought the food for the animals.
